name,pro_B12_17_1,pro_B12_17_2,pro_B12_17_3,pro_B12_21_1,pro_B12_21_2,pro_B12_21_3,nonpro_B12_1,nonpro_B12_2,nonpro_B12_3,status.in.b12_17,status.in.b12_21,status_in_nonprob12,welch.pval.b12_17.vs.parent,fold.change.17...parent,foldchange_B12_17,log2FC_B12_17,welch.pval.b12_21.vs.parent,fold.change.21...parent,foldchange_B12_21,log2FC_B12_21,pro_wt_1_1,pro_wt_1_2,pro_wt_1_3,pro_wt_3_1,pro_wt_3_2,pro_wt_3_3,nonpro_wt_1,nonpro_wt_2,nonpro_wt_3,status_in_prowt_1,status_in_prowt_1_3,status.nonpro_wt,welch.pval.wt_1.vs.parent,fold.change.wt1...parent,foldchange_wt_1,log2FC_wt_1,welch.pval.wt_3.vs.parent,fold.change.wt3...parent,foldchange_wt_3,log2FC_wt_3,adj_pval_b12_17_vs_parent,adj_pval_b12_21_vs_parent,adj_pval_wt_1_vs_parent,adj_pval_wt_3_vs_parent,welch_pval_wtprovsB12pro,adj_pval_wtprovsB12pro,fold_change_wtprovsB12pro
A0A8C2LFW4,21.56712467,23.14926422,23.37210089,22.31436384,22.43905322,22.81195121,21.86425759,22.34880947,28.64090713,not in b12_17,not in b12_21,not in b12,0.546516462,-1.588494805,0.934588546,-0.097596739,0.50425614,-1.762868641,0.927408134,-0.108723714,22.83339543,23.0111335,22.27973002,22.47986481,22.34909572,22.1398566,28.43070389,27.5446828,23.03274289,not in wt_1,not in prowt_3,in nonpro_wt,0.160007139,-3.627956877,0.862243662,-0.213832476,0.137861412,-4.013104152,0.847619321,-0.238511622,0.650808774,0.627393688,0.289195782,0.275426348,0.763380074,0.880604414,-0.093463662
A0A8C2LGE9,30.66907511,29.98842086,30.67817472,31.08414742,30.92117308,30.99732339,23.07666959,23.10630516,23.5422345,in b12_17,in b12_21,not in b12,4.1202e-05,7.203487146,1.309937563,0.389498049,0.000120042,7.75914488,1.333845318,0.415591371,30.2329898,30.96021918,29.90168205,29.73593039,29.65397883,30.18158442,23.10755537,21.75887943,22.70584135,in wt_1,in prowt_3,not in nonpro_wt,0.000148353,7.840871627,1.348110441,0.430938691,0.000880345,7.333072496,1.325565731,0.406608211,0.012177685,0.015207139,0.01287959,0.023412088,0.037003036,0.220884564,-0.611988318
A0A8C2LIF3,24.07291026,24.95700222,24.18488185,24.53440351,24.26197377,24.22682259,22.77236987,22.81411092,22.80289384,in b12_17,in b12_21,not in b12,0.028373004,1.608473234,1.070558032,0.098363003,0.003484312,1.544608413,1.067756508,0.094582692,24.36064953,24.71330402,23.81532257,25.68448096,24.59110712,24.97828285,23.26944043,22.39884236,21.6187856,in wt_1,in prowt_3,not in nonpro_wt,0.039316557,1.867402576,1.083258312,0.115377307,0.013471853,2.655600845,1.118400203,0.161436527,0.127747273,0.045046331,0.127029077,0.077255256,0.303761032,0.57409214,0.317525475
A0A8C2LIQ4,24.66567027,24.55507582,24.54288855,24.57740139,25.00103677,24.97199676,24.26151335,24.24293159,23.49677328,in b12_17,in b12_21,in b12,0.141845778,0.587472143,1.024477592,0.034888429,0.057288874,0.849738902,1.035405188,0.050195453,25.12415147,24.9453356,24.89964924,24.8571072,24.54760332,24.44455811,23.61509566,24.54980092,25.17257883,in wt_1,in prowt_3,in nonpro_wt,0.352170464,0.543886968,1.022248665,0.031746178,0.746968621,0.170597741,1.006978604,0.01003303,0.285400943,0.191080004,0.480420501,0.82676789,0.550426552,0.756782524,0.084055897
A0A8C2LJ38,26.61920321,27.02654813,26.56323099,26.66958219,22.39807332,26.52816457,23.12176108,21.94043713,23.69637959,in b12_17,in b12_21,not in b12,0.012762047,3.816801506,1.166530561,0.222224104,0.240331259,2.279080762,1.09943839,0.136766761,26.89431885,26.72166192,26.59072409,26.54954844,22.19162098,23.27901597,20.65288774,22.93717641,21.88355754,in wt_1,not in prowt_3,not in nonpro_wt,0.016244571,4.911027726,1.225023189,0.292809059,0.234833337,2.182187898,1.099987805,0.137487529,0.083224922,0.399405616,0.075708394,0.378055996,0.603134521,0.795144707,-0.596318693
A0A8C2LJU2,22.3652543,22.73253087,22.78716613,23.12864027,22.41717984,25.09090718,23.46060084,22.02969811,22.80778243,not in b12_17,not in b12_21,not in b12,0.776628527,-0.137710027,0.993951073,-0.008753257,0.450203474,0.779548639,1.034241751,0.048573451,26.08754304,22.73848441,26.56634797,22.27491039,25.77688926,26.27706563,22.27070626,21.03281775,22.45115022,in wt_1,in prowt_3,not in nonpro_wt,0.102889462,3.21256706,1.146570587,0.197325175,0.139995234,2.858063682,1.130396678,0.17682913,0.838614376,0.585768946,0.222280371,0.278292951,0.070181899,0.291380126,1.866593685
A0A8C2LJZ2,25.74638107,25.93760206,25.47773494,25.65063061,25.74932618,25.52682905,22.21437986,23.30945502,24.81386328,in b12_17,in b12_21,in b12,0.09017802,2.274673304,1.097017959,0.133587144,0.099242738,2.196362562,1.093677898,0.129187908,26.54395568,27.26123151,25.98703637,24.26465535,24.58803147,24.46577548,22.13103035,22.38595009,22.02697146,in wt_1,in prowt_3,not in nonpro_wt,0.004176411,4.416090555,1.199090545,0.261940603,0.000102006,2.258170134,1.101805051,0.139868981,0.225001022,0.249347414,0.036048499,0.011845447,0.764567487,0.880880358,-0.162969675
A0A8C2LKN0,23.96208458,24.05260805,24.25197949,24.06623705,22.97504873,23.95722128,22.64155032,22.27946415,22.65535339,in b12_17,in b12_21,not in b12,0.000845497,1.563434752,1.069407463,0.09681165,0.068030647,1.140713065,1.050641064,0.071269879,23.99734281,23.95759615,23.99058784,24.30271782,23.87787103,24.11546222,21.73224917,22.71400365,22.18499532,in wt_1,in prowt_3,not in nonpro_wt,0.024521521,1.771426221,1.079756553,0.110706072,0.011581537,1.888267646,1.085017212,0.117717928,0.024044899,0.207038921,0.096358802,0.071214851,0.436680566,0.675376658,0.162733115
A0A8C2LKY8,25.17747108,24.11120113,25.00252163,24.75208892,24.34497582,25.38833871,24.64544761,22.31326183,24.78635753,in b12_17,in b12_21,in b12,0.408189099,0.848708955,1.035488529,0.050311571,0.376722603,0.913445495,1.038195469,0.054078096,25.94945773,25.22325829,24.79158073,24.51135452,24.73799465,24.60338235,24.80850289,25.95290202,22.68741796,in wt_1,in prowt_3,in nonpro_wt,0.48018508,0.838491293,1.034247981,0.048582141,0.901093656,0.134636222,1.005499185,0.007911912,0.537629026,0.524053898,0.592882731,0.941116756,0.573842799,0.772397463,0.173405163
A0A8C2LLJ7,32.48890134,31.568508,32.25925139,32.31196672,32.13557902,31.96270497,30.73162856,31.05998085,31.40155903,in b12_17,in b12_21,in b12,0.042651318,1.041164097,1.033516323,0.047561174,0.015963086,1.072360754,1.03452058,0.048962346,31.78918169,32.42280807,31.92309285,31.81956275,31.25709396,31.76544596,30.81163442,30.89918964,31.00490194,in wt_1,in prowt_3,in nonpro_wt,0.020641393,1.139785533,1.036880007,0.052248948,0.047886233,0.70879222,1.022934369,0.032713585,0.154653055,0.094657704,0.085862033,0.1489497,0.178656075,0.449123036,-0.291621027
A0A8C2LNQ9,22.45105241,22.81890394,22.90409537,22.52731532,22.37613398,21.85303581,22.24123501,21.8691578,22.45351516,not in b12_17,not in b12_21,not in b12,0.074027223,0.536714584,1.024189441,0.034482591,0.821694483,0.064192384,1.002893116,0.004167859,22.48207323,22.71760384,22.28428216,22.93401126,22.68880455,23.2532223,22.07733999,21.82828204,23.63774295,in wt_1,in prowt_3,not in nonpro_wt,0.975614738,-0.019801914,0.99912048,-0.001269438,0.519750307,0.444224379,1.01973063,0.028188103,0.2036535,0.884194025,0.982666525,0.638306628,0.275559002,0.547367487,0.238243418
A0A8C2LPA5,24.88864086,26.67113705,25.89808373,24.35245997,25.72298608,25.87554813,25.72609768,26.74962841,27.09788735,in b12_17,in b12_21,in b12,0.348315858,-0.705250596,0.97341139,-0.03887844,0.132115207,-1.207539749,0.954474617,-0.067221264,24.4432083,25.25807743,24.56464706,24.3412605,25.56272813,23.92718032,23.96004063,24.12759926,25.8165805,in wt_1,in prowt_3,in nonpro_wt,0.864809335,0.120570802,1.00489434,0.007043817,0.976330024,-0.02435048,0.999011539,-0.001426753,0.486107309,0.290523109,0.907122174,0.987311965,0.062632621,0.27636988,-0.885292347
