common_wtpro_geneid_RNA,common_b12pro_geneid_RNA,background_geneid_RNA
Noc3l,Nasp,Commd5
Noc4l,Naxd,Commd6
Noct,Naxe,Commd7
Nol12,Nbl1,Commd8
Nol6,Nbn,Commd9
Nol7,Ncapd3,Comt
Nol9,Ncapg,Comtd1
Nolc1,Ncapg2,Cop1
Nop14,Ncaph,Copa
Nop56,Ncaph2,Copb1
Nop58,Ncbp1,Copb2
Nop9,Ncdn,Cope
Npc1,Nck2,Copg2
Npff,Ncl,Coprs
Npm3,Ncln,Cops2
Nr1i2,Ncoa4,Cops4
Nr2c1,Ncoa5,Cops5
Nr3c1,Ndc1,Cops6
Nr3c2,Ndc80,Cops7b
Nrap,Nde1,Cops8
Nrf1,Ndrg2,Cops9
Nrg2,Ndufa10,Copz1
Nrg4,Ndufa5,Coq10a
Nrm,Ndufab1,Coq10b
Nsa2,Ndufv2,Coq2
Nsd2,Nectin3,Coq3
Nsfl1c,Nedd4,Coq5
Nsl1,Nedd8,Coq6
Nsmaf,Nedd9,Coq7
Nsmce4a,Nek2,Coq8a
Nsun2,Nek7,Coq9
Nsun4,Nelfb,Coro1b
Nt5c2,Nemp1,Coro1c
Nt5dc2,Neo1,Coro2a
Nuak2,Nepro,Cort
Nucks1,Net1,Cotl1
Nudc,Neu2,Cp
Nudcd3,Nexn,Cpb2
Nudt2,Nfic,Cpeb1
Nudt4,Nfil3,Cpeb2
Nuf2,Nfkb2,Cpeb3
Nufip1,Nfx1,Cped1
Numa1,Nfyb,Cplane1
Nup107,Nfyc,Cplane2
Nup133,Ngdn,Cplx2
Nup153,Ngf,Cpm
Nup155,Nifk,Cpn1
Nup160,Nip7,Cpne2
Nup205,Nipa2,Cpne3
Nup35,Nisch,Cpne5
Nup37,Nkapd1,Cpox
Nup43,Nmd3,Cpsf1
Nup50,Nmi,Cpsf2
Nup54,Nmt2,Cpsf4
Nup58,Nnmt,Cpsf6
Nup93,Noa1,Cpsf7
Nup98,Nob1,Cpt1a
Nusap1,Noc2l,Cpt1b
Nvl,Noc3l,Cpt2
Nxf1,Noct,Cptp
Nxt1,Nol12,Cr1l
Obi1,Nol6,Crabp2
Ogdh,Nolc1,Cracd
Oip5,Nop14,Cracr2b
Ola1,Nop56,Cradd
Olfml3,Nop58,Crb1
Opa1,Nop9,Crcp
Oprm1,Nox4,Creb1
Orai1,Npas2,Creb3
Orc1,Npffr2,Creb3l1
Orc4,Nr1h4,Creb3l3
Orc5,Nrf1,Crebzf
Orc6,Nrgn,Creg1
Osbp,Nrm,Creld2
Osbpl11,Nsd2,Crem
Otud4,Nsfl1c,Crhbp
Otud6b,Nsl1,Crip1
Otud7b,Nsmaf,Crip2
Otulin,Nsmce4a,Cript
Oxa1l,Nsmf,Crispld2
Oxnad1,Nsun2,Crkl
P2ry2,Nt5c2,Crlf1
Pa2g4,Nt5dc1,Crnkl1
Pabpn1,Nt5dc2,Crocc
Pacc1,Ntan1,Crot
Pacsin2,Ntn4,Crppa
Paics,Nuak2,Crtap
Pak1ip1,Nucks1,Crtc1
Pak2,Nudc,Crtc2
Palb2,Nudcd3,Crtc3
Palm2akap2,Nudt12,Cry1
Pank4,Nudt2,Cry2
Paox,Nudt4,Cryaa
Papola,Nuf2,Cryab
Pard3,Nufip1,Crybg1
Parg,Numb,Crybg2
Parl,Nup107,Crybg3
Parp1,Nup153,Cryl1
Parp2,Nup155,Cryz
Parpbp,Nup160,Cryzl1
Pars2,Nup205,Cs
Pask,Nup35,Csad
Patj,Nup37,Csdc2
Patz1,Nup43,Csde1
Paxbp1,Nup50,Cse1l
Pbk,Nup54,Csf1
Pbrm1,Nup58,Csf1r
Pcbp2,Nup93,Csk
Pced1a,Nup98,Csnk1a1
Pcf11,Nupr1,Csnk1g1
Pclaf,Nusap1,Csnk1g2
Pcm1,Nutf2,Csnk1g3
Pcna,Nvl,Csnk2a1
Pcnt,Nxf1,Csnk2a2
Pcsk1,Oaz1,Csnk2b
Pcsk7,Oaz2,Cspg4
Pcyt1a,Ociad1,Csr1
Pdap1,Ogdh,Csrnp1
Pdcd11,Oip5,Csrnp2
Pdcd6ip,Olfm1,Csrp1
Pde12,Olfm2,Csrp2
Pde2a,Olfm4,Cst6
Pdgfa,Olfml3,Cstb
Pdhb,Oprm1,Cstf1
Pdik1l,Orc1,Cstf2t
Pdlim1,Orc4,Cstf3
Pdrg1,Orc5,Ctbp1
Pds5a,Orc6,Ctbp2
Pds5b,Osbp,Ctbs
Pdss1,Osbpl11,Ctcf
Pdzd2,Oser1,Ctdp1
Pelo,Osmr,Ctdsp1
Pes1,Otud4,Ctdsp2
Pfn2,Otud6b,Ctdspl
Pgam5,Otud7b,Ctdspl2
Pggt1b,Otulin,Ctif
Pgm2,Oxa1l,Ctnna1
Phax,Oxnad1,Ctnnal1
Phc3,Pa2g4,Ctnnb1
Phf21b,Pabpn1,Ctnnbip1
Phf3,Pacc1,Ctnnbl1
Phf5a,Pacs2,Ctnnd1
Phlpp2,Pacsin3,Ctps1
Phrf1,Pagr1,Ctr9
Phyh,Paics,Ctrl
Pibf1,Pak1,Ctsa
Pidd1,Pak1ip1,Ctsb
Pigx,Pak2,Ctsd
Pik3ap1,Palb2,Ctsf
Pik3ca,Paox,Ctsh
Pik3cb,Papola,Ctsk
Pik3r1,Papolg,Ctso
Pin1,Pard3,Ctsw
Pinx1,Parg,Ctsz
Pithd1,Parl,Cttn
Pitpnb,Parpbp,Cttnbp2
Pkn1,Parvg,Cttnbp2nl
Pkn2,Pask,Ctu2
Pla2g4d,Patj,Cubn
Pla2g4e,Patz1,Cuedc2
Plaa,Paxbp1,Cul1
Plat,Pbk,Cul2
Plch1,Pbrm1,Cul3
Plcxd2,Pcbp4,Cul4a
Plekha2,Pcdh18,Cul5
Plekhg3,Pced1a,Cul7
Plk1,Pclaf,CUNH10orf143
Plk2,Pcm1,CUNH10orf62
Plk4,Pcna,CUNH10orf82
Plrg1,Pcnt,CUNH10orf99
Plxna4,Pcnx3,CUNH11orf24
Plxnb2,Pcsk7,CUNH11orf42
Pmf1,Pcyt1a,CUNH11orf49
Pms2,Pdap1,CUNH11orf52
Pnn,Pdcd10,CUNH11orf54
Pno1,Pde12,CUNH11orf65
Pnp,Pde1b,CUNH11orf68
Pnpt1,Pde2a,CUNH11orf80
Poc1a,Pdgfa,CUNH11orf86
Poc5,Pdhb,CUNH11orf94
Poglut1,Pdlim1,CUNH11orf95
Pola2,Pdlim5,CUNH12orf40
Pold2,Pdlim7,CUNH12orf43
Pold3,Pdrg1,CUNH12orf65
Poldip3,Pds5a,CUNH14orf28
Pole,Pdss1,CUNH14orf93
Pole2,Pdzd2,CUNH15orf39
Pole3,Pea15,CUNH15orf40
Polk,Pebp1,CUNH15orf61
Polq,Peli2,CUNH15orf62
Polr1b,Pelo,CUNH16orf46
Polr1e,Pes1,CUNH16orf54
Polr2b,Pex19,CUNH16orf74
Polr2f,Pex3,CUNH18orf25
Polr2m,Pex7,CUNH18orf54
Polr3b,Pfkfb2,CUNH19orf25
Polr3c,Pfn2,CUNH19orf57
Polr3e,Pgap4,CUNH19orf71
Polr3f,Pggt1b,CUNH1orf109
Polr3g,Pgm2,CUNH1orf116
Polrmt,Phax,CUNH1orf131
Pom121c,Pheta1,CUNH1orf162
Pou2f1,Phf21b,CUNH1orf174
Ppa1,Phf3,CUNH1orf189
Ppat,Phf5a,CUNH1orf194
Ppfia1,Phkb,CUNH1orf198
Ppfibp2,Phldb2,CUNH1orf216
Ppia,Phlpp2,CUNH1orf52
Ppif,Phrf1,CUNH1orf53
Ppig,Phyh,CUNH1orf54
Ppih,Pibf1,CUNH1orf56
Ppil1,Pidd1,CUNH1orf74
Ppil2,Pigx,CUNH20orf173
Ppil4,Pik3ap1,CUNH20orf202
Ppip5k1,Pik3c2a,CUNH20orf204
Ppip5k2,Pik3ca,CUNH20orf96
Ppm1a,Pik3r2,CUNH22orf39
Ppm1b,Pin1,CUNH2orf15
Ppp1ca,Pinx1,CUNH2orf49
Ppp1cc,Pip4k2a,CUNH2orf69
Ppp1r12a,Pithd1,CUNH3orf14
Ppp1r14b,Pitpnb,CUNH3orf18
Ppp1r15b,Pja2,CUNH3orf33
Ppp1r16a,Pkd1l1,CUNH3orf38
Ppp1r18,Pkig,CUNH3orf62
Ppp1r2,Pkn2,CUNH3orf70
Ppp1r8,Pkp3,CUNH3orf86
Ppp2cb,Pla1a,CUNH4orf33
Ppp2r1b,Plaa,CUNH4orf36
Ppp2r2a,Plac8l1,CUNH4orf54
Ppp2r5d,Plagl2,CUNH5orf52
Ppp4r3a,Plat,CUNH6orf118
Ppp4r3b,Plcb3,CUNH6orf15
Ppp6r3,Plcd1,CUNH6orf163
Pprc1,Plcxd2,CUNH6orf226
Pptc7,Plekha2,CUNH6orf47
Prc1,Plekhg3,CUNH7orf50
Prep,Plekho1,CUNH8orf33
Prickle1,Plin2,CUNH8orf48
Prim1,Plk1,CUNH8orf58
Prim2,Plk4,CUNH8orf82
Primpol,Plpp1,CUNH9orf40
Prkaa1,Plpp2,CUNH9orf43
Prkar2a,Plrg1,CUNH9orf64
Prkar2b,Plxna4,Cuta
Prkce,Plxnb2,Cutc
Prkci,Pmf1,Cux1
Prkd1,Pml,Cux2
Prkrip1,Pmm1,Cwc15
Prmt3,Pmpca,Cwc22
Prmt5,Pms2,Cwc27
Prmt9,Pnp,Cwf19l1
Prorp,Pnpt1,Cwf19l2
Prpf19,Poc1a,Cxcl1
Prpf3,Poglut1,Cxcl10
Prpf38a,Pola2,Cxcl3
Prpf39,Pold2,Cxxc1
Prpf4,Pold3,Cxxc5
Prpf40a,Pole,Cyfip1
Prpf4b,Pole2,Cyhr1
Prrc2c,Polq,Cyhr1_1
Psat1,Polr1b,Cyld
Psen1,Polr1e,Cyren
Psen2,Polr2b,Cysltr2
Psip1,Polr2e,Cyth3
Psma1,Polr2f,Czib
Psma2,Polr2m,D2hgdh
Psma3,Polr3c,Daam1
Psma4,Polr3g,Dab2
Psma5,Polrmt,Dad1
Psma6,Pom121c,Dag1
Psmb10,Pomp,Dagla
Psmb2,Pou2f1,Daglb
Psmc1,Ppa1,Dalrd3
Psmc2,Ppat,Dand5
Psmc3,Ppfia1,Dap3
Psmc6,Ppia,Dapk2
Psmd13,Ppig,Dapk3
Psmd14,Ppih,Dapp1
Psmd2,Ppil1,Dars1
Psmd4,Ppil2,Dars2
Psmd6,Ppil4,Daxx
Psmd7,Ppip5k1,Dazap1
Psmd9,Ppip5k2,Dazap2
Psme3ip1,Ppm1b,Dbf4
Psme4,Ppm1m,Dbi
Psmf1,Ppp1ca,Dbn1
Psmg1,Ppp1cc,Dbndd1
Psmg2,Ppp1r12a,Dbndd2
Psmg3,Ppp1r14b,Dbnl
Pspc1,Ppp1r15b,Dbr1
Psrc1,Ppp1r16a,Dcaf1
Ptbp1,Ppp1r18,Dcaf10
Ptbp2,Ppp1r2,Dcaf11
Ptcd2,Ppp1r7,Dcaf12
Ptger1,Ppp1r8,Dcaf15
Ptges3,Ppp2cb,Dcaf17
Ptk2b,Ppp2r1b,Dcaf4
Ptma,Ppp2r2a,Dcaf5
Ptp4a2,Ppp4r1,Dcaf6
Ptpn2,Ppp4r3a,Dcaf8
Ptpn21,Ppp4r3b,Dcbld1
Ptpn9,Pptc7,Dcbld2
Ptprr,Prag1,Dcdc1
Puf60,Prc1,Dcdc2b
Pum3,Prcc,Dchs1
Pus1,Prelid1,Dck
Pus7,Prep,Dclk1
Pwp1,Prickle1,Dclk2
Pwwp2b,Prim1,Dclre1a
Pwwp3a,Prim2,Dclre1b
Pxylp1,Prkaa1,Dclre1c
Pycr2,Prkag1,Dcn
Pycr3,Prkar2a,Dcp1a
Pygb,Prkar2b,Dcp2
Pym1,Prkce,Dcps
Qrich1,Prkci,Dcst1
Qtrt1,Prkrip1,Dcst2
Qtrt2,Prmt5,Dctn2
R3hcc1l,Prmt9,Dctn3
Rab13,Prnp,Dctn4
Rab27b,Prorp,Dctn6
Rab30,Proser2,Dctpp1
Rab32,Prpf18,Dcun1d1
Rab35,Prpf19,Dcun1d2
Rab7b,Prpf3,Dcun1d3
Rab8a,Prpf38a,Dcun1d4
Rabl2b,Prpf38b,Dcun1d5
Rac1,Prpf4,Dda1
Racgap1,Prpf40a,Ddah2
Rad23b,Prpf4b,Ddb1
Rad51,Prr3,Ddb2
Rad51b,Psen2,Ddhd1
Rad54b,Psip1,Ddhd2
Rad54l,Psma2,Ddias
Rad9a,Psma3,Ddit3
Ralgapa1,Psma5,Ddit4
Ralgapa2,Psma6,Ddit4l
Ran,Psmb10,Ddost
Ranbp1,Psmb2,Ddr1
Ranbp10,Psmb5,Ddr2
Ranbp2,Psmc1,Ddrgk1
Ranbp3,Psmc2,Ddx10
Ranbp3l,Psmc3,Ddx11
Ranbp6,Psmc6,Ddx17
Rangap1,Psmd13,Ddx18
Rap1b,Psmd14,Ddx19b
Rapgef3,Psmd2,Ddx20
Raph1,Psmd4,Ddx21
Rars2,Psmd6,Ddx23
Rasa2,Psmd7,Ddx24
Rasa3,Psmd9,Ddx25
Rasl11a,Psme2,Ddx27
Rassf5,Psme3ip1,Ddx28
Raver1,Psmf1,Ddx39a
Rb1cc1,Psmg1,Ddx39b
Rbbp4,Psmg2,Ddx4
Rbbp6,Pspc1,Ddx41
Rbck1,Psrc1,Ddx46
Rbfa,Ptbp1,Ddx49
Rbm15,Ptbp3,Ddx50
Rbm17,Ptger4,Ddx51
Rbm22,Ptgr2,Ddx54
Rbm25,Ptk2b,Ddx55
Rbm26,Ptma,Ddx56
Rbm27,Ptp4a1,Ddx58
Rbm28,Ptp4a2,Ddx59
Rbm34,Ptpn13,Ddx6
Rbm44,Ptpn2,Ddx60
Rbm45,Ptpn4,Deaf1
Rbm47,Ptpn9,Decr1
Rbm48,Ptpra,Dedd
Rbm6,Puf60,Def6
Rbm7,Pum3,Def8
Rbm8a,Pus7,Degs1
Rbms1,Pwp1,Dek
Rc3h1,Pwwp3a,Dele1
Rcan1,Pxn,Dennd10
Rcbtb2,Pxylp1,Dennd11
Rcc1,Pycr3,Dennd1b
Rcc1l,Pym1,Dennd2a
Rcc2,Qrich1,Dennd2b
Rccd1,Qtrt2,Dennd2c
Rchy1,R3hcc1l,Dennd2d
Rcl1,R3hdm4,Dennd3
Rcor1,Rab12,Dennd4a
Rdx,Rab13,Dennd4b
Recql4,Rab22a,Dennd4c
Reeld1,Rab27b,Dennd5a
Rel,Rab31,Dennd6a
Rela,Rab35,Dennd6b
Rer1,Rab7b,Denr
Rest,Rab8a,Depdc1
Rexo2,Rabl2b,Depdc1b
Rexo4,Rac1,Depdc5
Rfc1,Racgap1,Depdc7
Rfc2,Rad23b,Derl3
Rfc3,Rad51,Derpc
Rfc4,Rad51b,Desi1
Rfc5,Rad54l,Desi2
Rfk,Rad9a,Det1
Rfwd3,Rae1,Deup1
Rfx1,Rai14,Dffa
Rhbdd2,Ralbp1,Dffb
Rhod,Ran,Dgat1
Rhog,Ranbp1,Dgcr2
Rictor,Ranbp10,Dgka
Rif1,Ranbp2,Dgkd
Rin1,Ranbp3,Dgkh
Rin2,Ranbp3l,Dgkz
Riok2,Rangap1,Dglucy
Riok3,Rap1b,Dhcr24
Ripk2,Rap2b,Dhcr7
Rmdn3,Rapgef3,Dhdds
Rnaseh2a,Raph1,Dhdds_1
Rnaseh2b,Rasa2,Dhfr
Rnaseh2c,Rasa4b,Dhodh
Rnd3,Rasl11a,Dhps
Rnf111,Rassf5,Dhrs1
Rnf115,Raver1,Dhrs3
Rnf126,Rbbp4,Dhrs9
Rnf138,Rbck1,Dhtkd1
Rnf146,Rbl1,Dhx15
Rnf168,Rbm17,Dhx16
Rnf19b,Rbm22,Dhx29
Rnf2,Rbm27,Dhx30
Rnf20,Rbm28,Dhx32
Rnf214,Rbm34,Dhx35
Rnf216,Rbm44,Dhx36
Rnf4,Rbm45,Dhx37
Rnf8,Rbm47,Dhx38
Rnmt,Rbm6,Dhx9
Rnpep,Rbm7,Diablo
Rock1,Rbm8a,Diaph1
Ror1,Rbms1,Diaph3
Rpa2,Rbpms,Dicer1
Rpa3,Rcbtb2,Dido1
Rpap3,Rcc1,Dimt1
Rpf1,Rcor1,Dio1
Rpf2,Rdx,Dip2a
Rpl11,Recql4,Dip2b
Rpl14,Reeld1,Dipk1c
Rpl15,Reep3,Dipk2a
Rpl21,Reep5,Dis3
Rpl22l1,Rela,Dis3l
Rpl4,Rest,Dis3l2
Rpl6,Rexo2,Disp1
Rpl7,Rfc1,Dixdc1
Rpl7l1,Rfc2,Dkk3
Rpl8,Rfc3,Dlat
Rpl9,Rfc4,Dld
Rplp0,Rfc5,Dlg1
Rplp1,Rft1,Dlg5
Rplp2,Rfwd3,Dlgap4
Rpp14,Rfx1,Dlgap5
Rpp30,Rfxap,Dlk2
Rpp38,Rgl2,Dll4
Rpp40,Rgs12,Dlst
Rps12,Rgs2,Dlx1
Rps13,Rhbdd2,Dlx2
Rps17,Rhebl1,Dmac2l
Rps19bp1,Rhoa,Dmap1
Rps20,Rhod,Dmbx1
Rps23,Rhog,Dmtf1
Rps26,Rictor,Dmtn
Rps27a,Rif1,Dmxl1
Rps27l,Rin1,Dna2
Rpsa,Rin2,Dnaaf1
Rpusd2,Riok1,Dnaaf2
Rpusd4,Riok2,Dnaaf5
Rrm1,Ripk2,Dnah10
Rrn3,Rmdn3,Dnah12
Rrp1,Rnaseh2a,Dnah5
Rrp12,Rnaseh2b,Dnah7
Rrp15,Rnaseh2c,Dnah8
Rrp7a,Rnasel,Dnai3
Rrp8,Rnd3,Dnai4
Rrp9,Rnf111,Dnaja1
Rrs1,Rnf115,Dnaja2
Rsl24d1,Rnf126,Dnaja4
Rspo3,Rnf13,Dnajb1
Rtcb,Rnf149,Dnajb11
Rtf1,Rnf168,Dnajb12
Rtraf,Rnf19b,Dnajb13
Rusf1,Rnf2,Dnajb14
Rwdd4,Rnf216,Dnajb2
Sac3d1,Rnf34,Dnajb4
Sacs,Rnf4,Dnajb5
Safb,Rnf5,Dnajb9
Safb2,Rnf6,Dnajc1
Sap130,Rnf8,Dnajc10
Sap25,Rnpepl1,Dnajc11
Sap30,Rom1,Dnajc12
Sapcd2,Ror1,Dnajc13
Sart1,Rpa2,Dnajc14
Sass6,Rpa3,Dnajc15
Sav1,Rpap3,Dnajc16
Scaf11,Rpf1,Dnajc17
Scaf4,Rpl7l1,Dnajc18
Scaf8,Rplp0,Dnajc19
Scel,Rpp30,Dnajc2
Scfd2,Rpp40,Dnajc21
Scly,Rprd1a,Dnajc22
Scrib,Rprd2,Dnajc24
Sdad1,Rps19bp1,Dnajc25
Sde2,Rps26,Dnajc28
Sdf2l1,Rps27a,Dnajc3
Sdhb,Rps27l,Dnajc30
Sdr42e2,Rps6ka1,Dnajc4
"sE1E2.sz-H445p,",Rps6ka4,Dnajc5
Sec11c,Rps6ka5,Dnajc6
Sec23b,Rpsa,Dnajc8
Sec24b,Rpusd2,Dnajc9
Sec63,Rrbp1,Dnal1
Secisbp2l,Rrm1,Dnal4
Seh1l,Rrn3,Dnali1
Selenoo,Rrp1,Dnase1l3
Selenot,Rrp15,Dnase2
Senp1,Rrp1b,Dnd1
Senp2,Rrp7a,Dner
Senp6,Rrp9,Dnhd1
Sephs1,Rrs1,Dnlz
Sephs2,Rsl24d1,Dnm1l
Septin11,Rsph3,Dnm2
Septin2,Rspo3,Dnm3
Septin5,Rtcb,Dnmt1
Septin7,Rtel1,Dnpep
Serpinb1,Rtf1,Dnph1
Setd1b,Rtkn2,Dnttip1
Setd2,Rtn4,Dnttip2
Setdb2,Rusf1,Dock10
Sf1,Rxylt1,Dock3
Sf3a1,Ryr3,Dock4
Sf3a2,S1pr2,Dock5
Sf3a3,Safb,Dock6
Sf3b1,Safb2,Dock7
Sf3b2,Samd11,Dock8
Sf3b3,Samd9,Dock9
Sf3b4,Samd9l,Dohh
Sf3b5,Samhd1,Dok3
Sfmbt2,Samm50,Dok5
Sfpq,Sap18,Donson
Sfswap,Sap30,Dop1a
Sfxn2,Sapcd2,Dop1b
Sgms1,Sar1a,Dot1l
Sgms2,Sart1,Dpagt1
Sgo1,Sass6,Dpcd
Sgo2,Sbk1,Dpf2
Sh3bp4,Scaf11,Dpf3
Sh3gl2,Scaf4,Dph2
Sh3tc1,Scaf8,Dph3
Shcbp1,Scara3,Dph6
She,Scel,Dph7
Shmt2,Scfd1,Dpm1
Shoc2,Scfd2,Dpm3
Sigmar1,Scly,Dpp10
Sik2,Scn3a,Dpp3
Sike1,Scrib,Dpp7
Sipa1,Sde2,Dpp8
Sirpa,Sdhd,Dpp9
Sirt1,Sdr42e2,Dpy19l1
Ska1,"sE1E2.sz-H445p,",Dpy19l4
Ska3,Sec11c,Dpyd
Ski,Sec23b,Dpysl2
Skp2,Sec24b,Dpysl3
Slbp,Sec31b,Dram1
Slc11a2,Sec62,Dram2
Slc12a2,Sec63,Drap1
Slc16a1,Seh1l,Drc7
Slc16a7,Selenok,Drg1
Slc17a6,Selenoo,Drgx
Slc18b1,Selenot,Drosha
Slc1a2,Sema3f,Dse
Slc1a3,Sema6b,Dsel
Slc22a15,Senp1,Dsn1
Slc25a12,Senp2,Dsp
Slc25a17,Sephs1,Dst
Slc25a3,Sephs2,Dstn
Slc25a44,Septin11,Dstyk
Slc26a2,Septin2,Dtd1
Slc27a3,Septin5,Dtd2
Slc29a2,Septin7,Dthd1
Slc30a1,Serac1,Dtl
Slc35e1,Serinc1,Dtna
Slc35f2,Serinc3,Dtnbp1
Slc37a1,Serpinb1,Dtwd1
Slc37a4,Setd1b,Dtx2
Slc38a2,Sf1,Dtx3
Slc39a14,Sf3a1,Dtx3l
Slc39a6,Sf3a2,Dtx4
Slc39a7,Sf3a3,Dtymk
Slc39a8,Sf3b1,Duox1
Slc52a3,Sf3b2,Duox2
Slc5a5,Sf3b3,Duoxa1
Slc9a9,Sf3b4,Dus2
Slc9b2,Sfmbt2,Dus3l
Slco3a1,Sfpq,Dus4l
Slf1,Sfswap,Dusp10
Slf2,Sfxn1,Dusp12
Slirp,Sgms2,Dusp15
Sltm,Sgo1,Dusp18
Smad1,Sgo2,Dusp19
Smad3,Sgpp1,Dusp23
Smarcc1,Sh3bgrl2,Dusp28
Smarcd1,Sh3gl2,Dusp4
Smc2,Sh3rf1,Dusp5
Smc3,Sh3tc1,Dusp6
Smc4,Shc1,Dusp7
Smc5,Shcbp1,Dut
Smg1,She,Dvl1
Smg5,Shf,Dvl3
Smg7,Shmt2,Dxo
Smndc1,Shprh,Dym
Smpd4,Shroom3,Dync1h1
Smtn,Sigmar1,Dync1i2
Smu1,Sik2,Dync1li1
Snap23,Sin3a,Dync1li2
Snapc4,Sipa1,Dync2h1
Snip1,Sipa1l2,Dync2i1
Snrnp200,Sirpa,Dync2li1
Snrnp40,Sirt1,Dynlrb1
Snrpa1,Sirt6,Dynlt1
Snrpb,Siva1,Dyrk1a
Snrpb2,Ska1,Dyrk2
Snrpc,Ska3,Dyrk3
Snrpd1,Skil,Dzank1
Snrpd3,Skp2,Dzip1
Snrpe,Slain2,Dzip1l
Snrpf,Slamf9,Dzip3
Snupn,Slbp,E2f1
Snw1,Slc11a2,E2f2
Snx16,Slc12a2,E2f3
Snx2,Slc16a1,E2f4
Snx5,Slc17a6,E2f5
Snx6,Slc18b1,E2f7
Sod1,Slc1a2,E2f8
Sod2,Slc22a15,Eaf1
Son,Slc25a12,Eaf2
Sorbs2,Slc25a3,Eapp
Sorbs3,Slc26a2,Ears2
Sp1,Slc27a1,Ebf2
Sp3,Slc27a3,Ebf3
Spata17,Slc27a6,Ebf4
Spata5,Slc29a2,Ebi3
Spata5l1,Slc30a1,Ebna1bp2
Spats2,Slc35a4,Ebpl
Spc25,Slc35d1,Ecd
Sprtn,Slc35e1,Echdc1
Sptlc2,Slc35e3,Echs1
Srbd1,Slc35f2,Eci2
Srcap,Slc35f5,Ecm1
Srek1,Slc38a2,Ecpas
Srek1ip1,Slc38a4,Ecsit
Srfbp1,Slc39a13,Ect2
Srm,Slc39a14,Ect2l
Srp72,Slc39a2,Edaradd
Srp9,Slc39a6,Edc3
Srpk1,Slc39a7,Edc4
Srrt,Slc39a8,Edem3
Srsf10,Slc44a2,Edf1
Srsf11,Slc9a9,Edrf1
Srsf3,Slc9b2,Eed
Srsf4,Slf1,Eef1a1
Srxn1,Smad1,Eef1a2
Ss18,Smad3,Eef1akmt1
Ssb,Smad7,Eef1akmt2
Ssbp1,Smad9,Eef1akmt3
Ssbp3,Smagp,Eef1aknmt
Ssrp1,Smarcc1,Eef1b2
Ssx2ip,Smc2,Eef1d
St13,Smc4,Eef1e1
St14,Smc5,Eef1g
St7,Smchd1,Eef2
St8sia6,Smg1,Eef2k
Stag1,Smg5,Eepd1
Stam,Smg7,Efcab11
Stat6,Smo,Efcab14
Stil,Smpd4,Efcab2
Stip1,Smtn,Efcab7
Stk11,Smu1,Efcab8
Stmn1,Snip1,Efemp1
Stoml2,Snrnp200,Efemp2
Strip2,Snrnp40,Efhc1
Stx11,Snrpa1,Efhd2
Styx,Snrpb,Efl1
Sucla2,Snrpb2,Efna1
Suds3,Snrpc,Efna2
Sugp1,Snrpd1,Efna3
Sugt1,Snrpd3,Efna4
Supt16h,Snrpe,Efnb2
Supt20h,Snrpf,Efs
Supv3l1,Snx2,Egf
Surf2,Snx4,Egfl8
Surf4,Snx6,Egln1
Suv39h2,Snx7,Egr1
Svil,Soat1,Egr2
Swap70,Sod1,Ehbp1
Syde1,Son,Ehd1
Syf2,Sorbs3,Ehd4
Syncrip,Sp3,Ehmt1
Syne2,Spag4,Ehmt2
Synj1,Spata17,Ei24
Tacc3,Spata5,Eid1
Tada2b,Spats2,Eid3
Taf1a,Spc25,Eif1ad
Taf3,Spon2,Eif1b
Taf4b,Sprtn,Eif2a
Taf5,Spryd4,Eif2ak1
Taf5l,Sptbn1,Eif2ak4
Taf6,Sptlc1,Eif2b1
Taf6l,Sptlc2,Eif2b2
Tank,Srd5a1,Eif2b3
Tapt1,Srd5a3,Eif2b5
Tarbp2,Srp9,Eif2d
Tardbp,Srpk1,Eif2s1
Tars1,Srrt,Eif2s2
Tasor2,Srsf10,Eif3a
Tbc1d19,Srsf11,Eif3b
Tbc1d20,Srsf3,Eif3d
Tbc1d4,Srsf4,Eif3f
Tbck,Srsf6,Eif3g
Tbl2,Srsf9,Eif3i
Tbp,Ss18,Eif3j
Tbrg4,Ssb,Eif3l
Tcea1,Ssbp1,Eif3m
Tceanc2,Ssbp3,Eif4a2
Tcerg1,Ssrp1,Eif4b
Tcf12,Ssx2ip,Eif4e
Tcf19,St14,Eif4e1b
Tcf20,St7,Eif4e2
Tcf3,Stag1,Eif4ebp1
Tchp,Star,Eif4ebp2
Tcof1,Stard9,Eif4enif1
Tcp1,Stat1,Eif4g1
Tdrd3,Stat6,Eif4g2
Tdrd5,Stau1,Eif4g3
Tenm4,Stil,Eif4h
Tent4b,Stim1,Eif5
Terf1,Stip1,Eif5a2
Terf2,Stk11,Eif5b
Terf2ip,Stk19,Eif6
Tex10,Stk25,Elac1
Tex30,Stk39,Elavl1
Tfb1m,Stmn1,Elavl2
Tfb2m,Strip2,Elf1
Tfdp1,Stx1a,Elf2
Tfdp2,Styx,Elfn1
Tfec,Suds3,Elk3
Tfg,Sugp1,Elk4
Tfip11,Sugt1,Ell
Tgfb1i1,Supt16h,Ell2
Tgfbr1,Supt20h,Ell3
Tgs1,Surf4,Elmo1
Thap12,Suv39h2,Elmo2
Thap3,Svil,Elmo3
Thbs1,Syn3,Elmod2
Thbs2,Syncrip,Eloa
Thoc1,Syne2,Eloc
Thoc3,Synj1,Elof1
Thoc5,Synpo2,Elovl1
Thoc7,Synpr,Elovl3
