common_wtpro_geneid_RNA,common_b12pro_geneid_RNA,background_geneid_RNA
Cdc23,Ccnk,Alg8
Cdc25a,Ccnyl1,Alg9
Cdc25b,Ccp110,Alkbh1
Cdc25c,Ccsap,Alkbh2
Cdc34,Cct2,Alkbh3
Cdc37,Cct3,Alkbh4
Cdc45,Cct4,Alkbh7
Cdc5l,Cct5,Alkbh8
Cdca2,Cct6a,Alpk2
Cdca4,Cct8,Als2
Cdca5,Cd320,Als2cl
Cdca7,Cd47,Ambra1
Cdca8,Cd53,Amd1
Cdk13,Cdc123,Amfr
Cdk2,Cdc14a,Amh
Cdk2ap1,Cdc16,Amhr2
Cdk4,Cdc20,Amigo3
Cdk5rap2,Cdc25a,Ammecr1l
Cdk6,Cdc25c,Amotl1
Cdk7,Cdc34,Amotl2
Cdkal1,Cdc37,Ampd2
Cdkn2aip,Cdc42bpb,Ampd3
Cdkn3,Cdc42ep2,Amt
Cdo1,Cdc45,Amz1
Cdt1,Cdc5l,Anapc1
Cdv3,Cdc73,Anapc10
Cdyl,Cdca2,Anapc13
Cenatac,Cdca4,Anapc15
Cenpe,Cdca5,Anapc16
Cenpf,Cdca7,Anapc2
Cenph,Cdca8,Anapc4
Cenpj,Cdh24,Anapc5
Cenpk,Cdh9,Anapc7
Cenpl,Cdipt,Ang
Cenpm,Cdk14,Angel1
Cenpn,Cdk2,Angel2
Cenpt,Cdk2ap1,Angpt4
Cenpu,Cdk4,Angptl4
Cenpw,Cdk5rap1,Angptl5
Cep128,Cdk5rap2,Angptl6
Cep135,Cdk7,Ank1
Cep152,Cdkn2aip,Ank2
Cep162,Cdkn2c,Ank3
Cep164,Cdt1,Ankdd1a
Cep192,Cdv3,Ankdd1b
Cep350,Cdyl,Ankh
Cep44,Celf2,Ankib1
Cep55,Cemip2,Ankle1
Cep57,Cenpe,Ankle2
Cep72,Cenpf,Ankmy1
Cep76,Cenph,Ankmy2
Cep78,Cenpj,Ankra2
Cerk,Cenpk,Ankrd1
Cfap20dc,Cenpl,Ankrd10
Cfap251,Cenpm,Ankrd11
Cfap298,Cenpn,Ankrd12
Cfl1,Cenpq,Ankrd13a
Cgas,Cenpt,Ankrd13c
