geneid,wt1_1_baseMean,wt1_1_log2FoldChange,wt1_1_lfcSE,wt1_1_stat,wt1_1_pvalue,wt1_1_padj
Acacb,125.5595679,-2.305528503,0.191827478,-12.01876045,2.83187664887182e-33,2.99085919758042e-32
Acad10,568.0221394,-0.464554876,0.080074255,-5.801551011,6.57043013599007e-09,2.36254573704667e-08
Acad11,500.4373765,-0.483512764,0.085385827,-5.66268177,1.49025379295066e-08,5.21429271452115e-08
Acad8,265.9634484,-0.205693723,0.129466162,-1.588783659,0.112109244,0.165972758
Acad9,867.6649388,0.285126184,0.068523293,4.161011094,3.16841691891412e-05,8.202886536564e-05
Acadl,2003.460499,-0.054668642,0.051548943,-1.060519171,0.288908473,0.375783448
Acadm,475.0364375,-0.20771354,0.094183268,-2.205418698,0.027424727,0.047099704
Acads,444.8293024,-0.856878542,0.094844343,-9.034577219,1.6463759982492e-19,1.05615528143434e-18
Acadsb,827.4548169,-0.135342108,0.071677884,-1.888198992,0.058999241,0.094525555
Acap2,1718.434788,-0.077795248,0.050906122,-1.528210082,0.126460386,0.184144354
Acap3,978.8802743,0.4525998,0.070895635,6.384029176,1.72488204826946e-10,6.93225610263743e-10
Acat1,2353.817023,-0.611206699,0.053257432,-11.47645834,1.73232087931005e-30,1.65809926506681e-29
Acbd3,1344.013934,0.159910712,0.055269158,2.893308274,0.003812069,0.007610831
Acbd5,1317.194818,-0.16698752,0.057994662,-2.879360161,0.00398483,0.007925314
Acbd6,711.6608699,0.13307896,0.072505926,1.835421842,0.06644321,0.10498376
Acd,994.6047757,-0.032173551,0.063334288,-0.507995779,0.611456304,0.688577654
Acer1,6.286951235,-1.674113123,0.764003958,-2.191236192,0.028434705,0.04863708
Acer3,1183.546712,-0.232984415,0.05881161,-3.961537777,7.44685969488251e-05,0.000185186
Ache,5.179812124,1.338385816,0.839020926,1.595175727,0.110672945,0.164101263
Acin1,4913.435031,0.432747372,0.040529386,10.67737296,1.29895572088779e-26,1.08527797921947e-25
Ackr3,605.5208256,-0.60241949,0.077271059,-7.796185216,6.38067138729098e-15,3.33556304057743e-14
Ackr4,14.36650989,0.611821976,0.484793089,1.262027018,0.206939065,0.282724441
Aco1,1209.321596,0.241210586,0.061516623,3.921063509,8.8159022425299e-05,0.000216759
Aco2,7777.692327,-0.137439119,0.036543781,-3.760944098,0.000169273,0.000404206
Acot13,266.5462391,-0.653429466,0.126296014,-5.173793258,2.29388633779025e-07,7.24591878808198e-07
Acot7,5098.699151,0.087368403,0.039829553,2.193557226,0.028267256,0.048394084
Acox3,988.6711174,0.111721215,0.06507504,1.716805923,0.086014638,0.13185579
Acoxl,34.26527737,-0.50468037,0.310686917,-1.624401746,0.104290095,0.156032715
Acp2,600.6346914,0.368990084,0.082893287,4.451386811,8.53175002597419e-06,2.35034096332112e-05
Acp5,639.768887,-0.215146095,0.07634363,-2.818127642,0.00483046,0.009494897
Acp6,234.9333744,-1.484916514,0.132645827,-11.19459656,4.33370438108875e-29,3.95003000242524e-28
Acsbg1,7.683594537,0.696716464,0.668489515,1.042224969,0.297307389,0.384857618
Acsf3,386.8473381,0.267936265,0.099336677,2.697254143,0.006991389,0.013363554
Acsl1,855.640393,-1.051550205,0.069705888,-15.08552923,2.01651223399577e-51,3.63799162972297e-50
Acsl3,1621.810133,-0.730613353,0.055729119,-13.11008253,2.88284554280203e-39,3.67193622701221e-38
Acsl5,3105.60044,1.109060675,0.046220046,23.99523113,3.11856388341568e-127,2.07384498247143e-125
Acss2,2433.658127,-1.705126088,0.048399553,-35.23020317,6.89666710506317e-272,2.02266867558237e-269
Acss3,11.3536943,0.55128888,0.545999225,1.009688027,0.312644781,0.401260211
Acta1,154.7031243,0.193454502,0.15333307,1.261661958,0.207070451,0.282860472
Acta2,371.0401505,-0.517326161,0.105240582,-4.915652813,8.84870953874974e-07,2.67189914741868e-06
Actb,71577.68512,-0.413187537,0.034474553,-11.98529053,4.24353985347902e-33,4.44076933614758e-32
Actl10,6.662612934,-2.336642996,0.821384166,-2.844762649,0.004444453,0.008773844
Actl6a,1702.181687,0.39899476,0.051026351,7.819386519,5.30813895242214e-15,2.7863466423958e-14
Actl6b,5.399461065,-0.945440294,0.831034245,-1.13766707,0.255259529,0.338393427
Actn1,10976.30253,-0.172294827,0.031013818,-5.555421277,2.7694300979645e-08,9.42199329581139e-08
Actn3,245.7208359,0.487652673,0.131365475,3.712182916,0.000205479,0.000485493
Actr10,987.9557528,0.04321436,0.065618484,0.658569919,0.510171984,0.596600262
Actr1a,3662.877724,0.233576564,0.044533585,5.244953069,1.563221131134e-07,5.01265020967499e-07
Actr1b,273.9163049,-0.052399175,0.115259031,-0.454620989,0.649381932,0.721970309
Actr2,6951.947176,0.175105975,0.040072249,4.369756631,1.24385083372037e-05,3.36897130857058e-05
Actr3,8126.212085,0.107774459,0.035806592,3.009905526,0.00261329,0.005331931
Actr5,733.4945439,-0.325834871,0.072889682,-4.470246864,7.81293651237054e-06,2.16116971773868e-05
Actr6,628.9166742,0.053179055,0.076136555,0.698469415,0.484883679,0.574130385
Actr8,647.466117,0.266258448,0.077412961,3.439455687,0.000582885,0.001298606
Actrt3,18.25647674,0.804744514,0.448717214,1.793433568,0.072903624,0.114119564
Acvr1,793.8604906,-0.124212465,0.071427479,-1.73900111,0.082034568,0.126542331
Acvr1b,311.0812962,-0.183952069,0.112611152,-1.633515558,0.102360611,0.153762696
Acvr2a,329.1305057,0.50680884,0.109567457,4.625541689,3.73620643660658e-06,1.06917010812875e-05
Acvr2b,148.7527579,-1.47730567,0.160431555,-9.208323573,3.31257822890742e-20,2.1737963156766e-19
Acy3,8.937655102,-1.830839549,0.652563365,-2.805611909,0.005022114,0.009834553
Acyp1,85.44987639,-1.570757948,0.207034167,-7.586950346,3.27522523424192e-14,1.65687864791062e-13
Acyp2,70.78924656,1.069131194,0.223998372,4.772941808,1.81554261424625e-06,5.34934992832267e-06
Ada,366.50634,0.028631802,0.110129906,0.259982074,0.794877601,0.845435187
Adal,268.4056031,0.12543246,0.117566589,1.066905666,0.286014436,0.372685477
Adam10,5171.218295,-0.088708971,0.035475031,-2.500603098,0.012398204,0.022704236
Adam12,1382.743267,0.597236825,0.059613379,10.01850317,1.26402721470208e-23,9.49930570418027e-23
Adam15,1774.934997,0.803816955,0.055452629,14.49556082,1.29242468445603e-47,2.08501460378111e-46
Adam21,13.9599435,-0.786978694,0.494332907,-1.592001429,0.111384383,0.16496369
Adam22,3976.595938,-0.984582208,0.040685562,-24.1997939,2.23586629637827e-129,1.54992961805907e-127
Adam23,382.3379339,-1.520309727,0.102616278,-14.81548309,1.1634976652278e-49,1.96865181876858e-48
Adam32,955.3388672,-0.055316147,0.06842203,-0.808455222,0.418828574,0.510938697
Adam33,4.127785067,4.341686034,1.414215881,3.070030603,0.002140368,0.004413473
Adam8,72.42359737,-3.082911007,0.275660217,-11.1837357,4.89836959360941e-29,4.45724354906161e-28
Adam9,7658.41424,-0.097502146,0.038282122,-2.546936791,0.010867312,0.020132865
Adamts1,351.9672801,-0.619774892,0.099653393,-6.219305447,4.99360370130938e-10,1.94473405296482e-09
Adamts15,4.889843871,-0.552690676,0.82475047,-0.670130781,0.502774424,0.589697894
Adamts3,9.468753553,1.457332866,0.650351096,2.240840179,0.025036429,0.043349482
Adamts4,260.9239202,-0.897945908,0.118550704,-7.574361689,3.60897653239517e-14,1.81607890794263e-13
Adamts6,56.755978,-0.036796732,0.244292363,-0.150625799,0.880270909,0.911933427
Adamts7,1875.053106,-1.936943992,0.055445017,-34.93450103,2.22655328193894e-267,6.06364677114704e-265
Adamtsl1,2.623554284,-0.854677885,1.221847768,-0.699496212,0.48424198,0.573606903
Adamtsl4,1649.200653,-0.910427863,0.056952171,-15.98583254,1.60409450346492e-57,3.33593326011487e-56
Adamtsl5,1244.84366,-0.159898514,0.068329403,-2.340112844,0.019277914,0.03408576
Adapt15,892.5713203,0.009513086,0.070097096,0.13571298,0.892048186,0.9199299
Adar,955.2131872,-0.133881313,0.066136116,-2.024329839,0.042936225,0.070958611
Adarb1,294.5268862,-1.350767593,0.111960872,-12.0646398,1.62371230468441e-33,1.7292384861248e-32
Adat1,261.0070076,0.044888675,0.114219845,0.393002416,0.694317697,0.761703939
Adat2,376.8848915,0.359274606,0.097499573,3.68488388,0.000228807,0.000537722
Adat3,104.2366613,0.528364983,0.182996169,2.887300795,0.003885626,0.007740123
Adck1,93.88532038,0.154795918,0.204226319,0.75796263,0.448473355,0.539564346
Adck2,581.7637248,-0.395244157,0.078073269,-5.062477385,4.13843169365072e-07,1.28037278095691e-06
Adck5,286.5480804,-0.300025048,0.116403085,-2.57746647,0.009952754,0.018558787
Adcy10,20.47248136,0.908195922,0.404665995,2.244309956,0.024812465,0.04299424
Adcy6,2194.30587,0.090998892,0.056894482,1.59943264,0.109724505,0.162884995
Adcy7,1805.435945,-0.504376264,0.053252409,-9.471426184,2.76048571624607e-21,1.88729441855484e-20
Add1,6158.777316,0.249218662,0.034606797,7.201436753,5.9581363157385e-13,2.79988345026364e-12
Adgra2,3922.600196,-0.93358604,0.04796697,-19.46310228,2.25700374744036e-84,8.1954313851501e-83
Adgra3,544.8722843,0.202366675,0.089625089,2.257924404,0.023950373,0.04163921
Adgrb2,48.60092972,-1.17844785,0.276355397,-4.264247643,2.00576890750197e-05,5.31803077515242e-05
Adgrd1,56.95218828,8.16810793,1.196094278,6.82898337,8.5518486499767e-12,3.73771665488855e-11
Adgre1,20.96022636,0.128154566,0.398372306,0.32169547,0.74768341,0.807276419
Adgre5,2490.694857,-0.832071696,0.04854091,-17.14165839,7.25515419053294e-66,1.7846119060498e-64
Adgrf1,78.9341348,-0.823042988,0.211366021,-3.893922889,9.86360159320801e-05,0.000240914
Adgrg1,13212.64453,0.006523982,0.034194111,0.190792555,0.848688122,0.887321274
Adgrl2,7766.595582,-0.558014204,0.032908217,-16.9566828,1.71772121287221e-64,4.14499899426843e-63
Adh5,6055.792167,0.243872716,0.039121564,6.233715958,4.55498675310518e-10,1.77815489699717e-09
Adh7,2.635382157,-1.712289685,1.176169333,-1.45581902,0.145442657,0.208024647
Adhfe1,58.32112637,0.284188221,0.264430557,1.074717779,0.282501101,0.368821778
Adipor1,4397.900771,-0.10686351,0.04166018,-2.565123545,0.010313907,0.019191921
Adk,2836.398718,-0.354508671,0.047362971,-7.484933152,7.15835627421799e-14,3.5429739027892e-13
Adm,127.4250383,0.61835212,0.166710372,3.709140059,0.000207964,0.00049106
Adnp,3364.739627,-0.537763003,0.043101029,-12.47680183,9.99200384278161e-36,1.14060419115505e-34
Adnp2,1064.977019,0.169221289,0.062640343,2.701474504,0.006903277,0.013206169
Adora2a,19.42657817,-0.260279448,0.422588676,-0.61591676,0.53794946,0.621773031
Adpgk,1004.359003,-0.380016218,0.062709782,-6.059919291,1.36189867599655e-09,5.16149670511878e-09
Adprh,2635.027365,0.309123184,0.047867309,6.457918609,1.061528027624e-10,4.31476815208364e-10
Adprs,596.3583681,0.259521418,0.07790015,3.331462362,0.00086391,0.001877522
Adra1d,28.3936667,-1.16748574,0.350196828,-3.333798731,0.000856686,0.001863594
Adrm1,3271.247447,0.220503758,0.045167004,4.881965529,1.05033619841131e-06,3.15238662750683e-06
Adsl,1362.785518,0.485635427,0.060261113,8.058852536,7.70139348680967e-16,4.22082121236842e-15
Adss1,16.15877662,1.968413542,0.519310769,3.790434668,0.000150384,0.000360833
Adss2,1456.842171,0.381976481,0.059358398,6.435087459,1.23402254411229e-10,4.99283687992799e-10
Aebp1,35035.12419,-0.567825646,0.030597702,-18.55778717,7.05513709787393e-77,2.14049491049024e-75
Aen,332.3109128,0.139698541,0.104635934,1.335091449,0.181846418,0.252882593
Afap1,4277.328572,-0.284604644,0.037308191,-7.628476145,2.37544787491966e-14,1.20810906150872e-13
Afap1l2,5.643473775,0.634446118,0.775665984,0.817937271,0.413393007,0.505223765
Aff1,1884.909384,0.57102693,0.054499604,10.47763444,1.09447080379596e-25,8.83454979097971e-25
Afg1l,124.039641,0.362661794,0.175361879,2.068076572,0.038632823,0.064498939
Afg3l2,2227.200772,0.310609944,0.048169893,6.448217403,1.13173347276125e-10,4.59197143009691e-10
Aftph,1178.740424,0.062358482,0.06270917,0.994407702,0.32002442,0.409490918
Aga,8937.769347,-0.672204012,0.039619053,-16.96668555,1.44881990136792e-64,3.50350994330787e-63
Agap1,2849.949006,-0.618573186,0.042719938,-14.47973038,1.62734243575601e-47,2.61426162642939e-46
Agap2,9.270365019,0.245412935,0.604729503,0.40582266,0.684872908,0.753592865
Agbl3,433.3665486,-0.271966371,0.098265394,-2.76767192,0.005645826,0.01097128
Ager,34.33019223,-0.329225375,0.322001394,-1.022434627,0.306575239,0.394888241
Agfg1,921.841495,0.130152814,0.06816111,1.909487899,0.056199181,0.090485112
Agfg2,1781.59781,0.154019916,0.052967608,2.907813311,0.003639655,0.007297174
Aggf1,1334.539359,0.135853087,0.059820206,2.271023387,0.023145562,0.040368853
Agk,889.1364615,-0.124386794,0.066065974,-1.882766364,0.059732037,0.095487777
Agl,1047.882702,-0.294760496,0.066632959,-4.423644091,9.70498517885848e-06,2.65690810138304e-05
Ago2,5875.773914,-0.381612239,0.04273479,-8.929779188,4.26859941908988e-19,2.69004077992011e-18
Agpat1,2687.869243,-0.24206979,0.04969073,-4.871528186,1.10738361206799e-06,3.32011893966805e-06
Agpat2,745.1908233,-0.20272218,0.076463158,-2.651239957,0.008019684,0.015214323
Agpat3,3299.429769,-0.997712293,0.045087339,-22.12843575,1.68315313719324e-108,8.99621756225058e-107
Agpat4,2217.694065,0.003925612,0.047415068,0.082792495,0.934016537,0.950471476
Agpat5,1182.270303,0.390588484,0.058448725,6.682583467,2.34766164300252e-11,9.95645304881824e-11
Agps,2173.840178,0.138928226,0.047270423,2.939009564,0.003292629,0.006635119
Agrn,4662.936892,-0.801725202,0.051107494,-15.6870381,1.8551186758212e-55,3.64585007114139e-54
Agrp,8.648075985,-1.497393053,0.637299685,-2.349590134,0.018794093,0.033286906
Agtpbp1,260.0484814,-0.555300344,0.114723332,-4.840343606,1.29614825166546e-06,3.86479241463751e-06
Agtrap,348.2320109,-0.771058172,0.108432497,-7.110950968,1.15246081128805e-12,5.30670159400674e-12
Ahctf1,3214.745125,0.480817851,0.041647318,11.54498956,7.82509726433501e-31,7.59147264711314e-30
Ahcy,1433.568598,-0.085384437,0.054988158,-1.552778654,0.120476024,0.17662199
Ahcyl1,5529.798807,-0.369968927,0.036245794,-10.20722357,1.84056155140008e-24,1.42438044823506e-23
Ahcyl2,783.5243514,-0.206678095,0.076014415,-2.718932902,0.006549289,0.01258793
Ahdc1,1559.822409,0.252439339,0.054045695,4.67085009,2.99955791686674e-06,8.65731603661916e-06
Ahi1,624.7872713,0.208296757,0.081065138,2.569498572,0.010184581,0.018966337
Ahnak,28370.10473,0.033068305,0.046365478,0.713209634,0.475716045,0.565499909
Ahnak2,5030.351919,-0.659670329,0.045620121,-14.46007417,2.1656433364625e-47,3.46927569782326e-46
Ahr,725.2580727,-0.186989088,0.075655348,-2.471591152,0.013451325,0.024491605
Ahsa1,3557.48292,0.498377681,0.041144302,12.11292102,9.02228911389e-34,9.68985379198815e-33
Ahsa2p,1447.202909,-0.167047305,0.058718287,-2.844894041,0.00444262,0.008771739
Ahsp,15.34556769,0.629554485,0.468697602,1.343199716,0.179207314,0.249637468
Aida,3751.354738,0.357489949,0.039725817,8.998932517,2.27922953413029e-19,1.4523580730575e-18
Aifm2,145.0311879,-0.680941086,0.171138717,-3.978883905,6.92395383076644e-05,0.000172767
Aifm3,26.2498152,0.356072428,0.688161114,0.517425964,0.604858839,0.682622141
Aig1,804.939677,-0.797683397,0.072349906,-11.02535499,2.8837845322939e-28,2.55695561863393e-27
Aimp1,1990.744009,0.360889579,0.055190883,6.538934719,6.19585600423734e-11,2.55013317655512e-10
Aimp2,714.1866289,0.974655239,0.077163008,12.63112029,1.4223862349017e-36,1.66693173717271e-35
Aip,1665.616963,-0.009430907,0.054010078,-0.174613846,0.861383068,0.897885677
Ajm1,14.69521513,0.612142954,0.48863946,1.252749733,0.2102968,0.286558828
Ajuba,2298.450924,0.712559795,0.047112964,15.12449505,1.1165378052509e-51,2.04008936365173e-50
Ak2,4131.46178,0.631166034,0.043159968,14.62387618,1.97810194580455e-48,3.23684264035943e-47
Ak3,4447.919235,-0.120468758,0.045668058,-2.637921631,0.008341586,0.015760003
Ak4,369.7482367,-1.383714583,0.100242353,-13.80369215,2.42126939907006e-43,3.4317818322879e-42
Ak5,4.82004387,0.244028073,0.893013607,0.273263555,0.784650628,0.83751716
Ak6,754.5081063,0.441191702,0.0744718,5.92427871,3.13671080587557e-09,1.16071492066014e-08
Ak9,5.318317368,-0.297824788,0.831860853,-0.358022362,0.720326578,0.783929154
Akap11,1735.639805,0.919939784,0.053026972,17.34852565,2.02371683933638e-67,5.21334982169585e-66
Akap12,9916.66873,-0.293215379,0.03566047,-8.222420486,1.9943652602115e-16,1.12096068040782e-15
Akap13,1743.709441,0.201384623,0.061773794,3.260033264,0.001113991,0.002379872
Akap7,500.5213952,-1.277801267,0.087772618,-14.55808547,5.18907984557152e-48,8.47895646766387e-47
Akap8,1599.219666,0.590476539,0.054468259,10.84074567,2.20665071666655e-27,1.89061205222712e-26
Akap8l,669.5771961,-0.087249758,0.07457511,-1.169958152,0.24201781,0.323240225
Akap9,2210.416437,0.050279924,0.053607712,0.93792334,0.348283808,0.439213913
Akip1,527.8389678,0.196934071,0.086887095,2.266551445,0.023417641,0.040768794
Akirin1,1189.051615,0.035810279,0.058813347,0.608880148,0.542603883,0.626266722
Akirin2,557.3814347,0.014751559,0.083926795,0.175766977,0.860477014,0.897104738
Akna,384.9978636,-0.537750559,0.095705572,-5.618800953,1.92287224464034e-08,6.6486737406881e-08
Akr1a1,13129.9267,-0.49452523,0.040244359,-12.2880633,1.04991289439861e-34,1.16365345795846e-33
Akr1b1,4941.593432,0.49290092,0.039014441,12.63380711,1.37463021028299e-36,1.61427313605923e-35
Akr1b8,5086.999017,0.126477171,0.043676182,2.895792736,0.003782021,0.007554795
Akr1e2,295.6645221,0.292745776,0.115086543,2.543701194,0.010968487,0.020307147
Akt1,6736.434548,0.289702122,0.037601234,7.704590779,1.31263240234722e-14,6.76911155006649e-14
Akt3,215.6826544,-1.267511033,0.134911215,-9.395149468,5.71366411133968e-21,3.8579037842682e-20
Aktip,1157.712775,-0.515131962,0.059488555,-8.659345735,4.74479680291175e-18,2.85636767535288e-17
Alad,340.0115606,0.428789839,0.107098399,4.003699807,6.23594856139798e-05,0.000156624
Alas1,852.633753,-0.349756621,0.073561167,-4.754636672,1.98803615771779e-06,5.83653941785833e-06
Alb,6.773916797,-0.657521488,0.699423979,-0.940089999,0.347171398,0.438197578
Alcam,3931.896954,-0.449531307,0.041352139,-10.87081136,1.58782458661488e-27,1.37171734302878e-26
Aldh18a1,14.9211272,0.332168476,0.494358943,0.671917604,0.501636152,0.588604258
Aldh2,4141.377009,-0.396043206,0.040847854,-9.695569378,3.14876449626202e-22,2.23006614911734e-21
Aldh4a1,392.8731974,-0.122197976,0.103708284,-1.178285587,0.238682772,0.319416584
Aldh5a1,608.9123794,-0.637897964,0.082939568,-7.691117491,1.4585541476161e-14,7.51145535363933e-14
Aldh6a1,574.1421904,-0.195362046,0.082496796,-2.368116782,0.017878891,0.031818696
Aldh7a1,2181.312013,0.190635603,0.051541575,3.698676301,0.000216727,0.000510697
Aldh8a1,152.1917739,0.103220631,0.154519475,0.668010495,0.504126893,0.590860068
Aldh9a1,990.4077841,-0.217071765,0.066779789,-3.250560809,0.001151776,0.002456006
Aldoa,18549.5565,-0.687267935,0.035501586,-19.35879535,1.71857436038378e-83,6.18146337549359e-82
Alg11,741.3763315,0.259529094,0.071574172,3.626016012,0.000287828,0.000668597
Alg12,1234.391309,-0.059112997,0.057550439,-1.02715111,0.304349315,0.392507325
Alg2,973.4300925,0.092945893,0.065062743,1.428557853,0.153131355,0.217336697
Alg3,511.415153,0.202408463,0.085447421,2.368807183,0.017845554,0.031769253
Alg5,644.5297553,0.446057739,0.076821898,5.806387917,6.38349705865893e-09,2.29894330468957e-08
Alg6,480.8191289,0.367459122,0.087791075,4.185609114,2.8440240646382e-05,7.41338816119683e-05
Alg8,514.3904354,0.337017329,0.086210375,3.909243277,9.25856891579883e-05,0.00022662
Alg9,776.7857483,-0.115525956,0.072005077,-1.604414038,0.108622819,0.161522075
Alkbh1,555.1217549,0.523346297,0.084907266,6.163739844,7.10466329468599e-10,2.74444913085506e-09
Alkbh2,358.149906,0.09209643,0.097616619,0.943450313,0.345450618,0.436218169
Alkbh3,641.2292838,0.104650304,0.075326079,1.38929711,0.164742422,0.232002441
Alkbh4,315.7475779,0.398498626,0.112512894,3.541804059,0.000397401,0.000906374
Alkbh7,164.809233,0.753071555,0.144730581,5.203264908,1.95817423478359e-07,6.22155469373741e-07
Alkbh8,468.0103065,0.08897963,0.086391609,1.029956864,0.303030255,0.39107075
Alpk2,7.659428914,0.677853629,0.668446217,1.014073551,0.310547658,0.399150928
Als2,706.8511187,0.013172352,0.072028788,0.182876215,0.854895146,0.892424083
Als2cl,1874.740559,0.135035914,0.056495379,2.390211669,0.016838665,0.030112672
Ambra1,1245.061101,-0.319657289,0.058557468,-5.458864588,4.79189037822285e-08,1.6012165394716e-07
Amd1,1510.127076,0.16424223,0.052930504,3.102978747,0.001915834,0.003970522
Amfr,3335.298165,0.150262575,0.0445801,3.370619945,0.000749992,0.00164811
Amh,30.7139781,0.959063482,0.350577016,2.735671299,0.006225318,0.01202384
Amhr2,23.32264847,-0.977714834,0.383723423,-2.54796756,0.010835255,0.020076728
Amigo3,66.74069802,-0.207618689,0.224695814,-0.923998917,0.35548688,0.446623345
Ammecr1l,505.1562448,0.626916414,0.085579913,7.325508884,2.37993860090811e-13,1.14714444657341e-12
Amotl1,6748.221343,-0.274115851,0.035995569,-7.615266415,2.63148124091521e-14,1.33298859316156e-13
Amotl2,4197.885101,-0.083846513,0.038447457,-2.180807792,0.029197636,0.049830284
Ampd2,1946.628813,-0.254486429,0.047958739,-5.306362026,1.11834739519869e-07,3.63296151839892e-07
Ampd3,29.18608491,1.068678952,0.360249332,2.966498078,0.003012122,0.006095658
